message,intention,equipe
Why are there so many fees on my statement?,extra_charge_on_statement,frais
Why was I overcharged a pound!?,extra_charge_on_statement,frais
"Something went wrong, I was charged an extra pound?",extra_charge_on_statement,frais
What is this €1 fee in my statement?,extra_charge_on_statement,frais
"Can you help me with a weird charge?  It's a pound charge that never goes away from the statement view on the app I'm using.  It's not described as anything but ""Pending"", and that status has never changed during the last two days.",extra_charge_on_statement,frais
"$1 extra has been charged on my statement, why is that?",extra_charge_on_statement,frais
"It's been two weeks, why has the transaction for $1.00 not been reversed?",extra_charge_on_statement,frais
"Hey I tried to get some money out earlier but the machine didn't work. Now just saw the transaction still seems in progress! Can you please check what's going there, seems something is broken, I don't want to be charged for money that I haven't actually received!",pending_cash_withdrawal,retrait
Why is a transaction showing as pending when I recieved cash from an ATM?,pending_cash_withdrawal,retrait
"Hi,I tried to get some money out but the machine was not working .The transaction still seems in progress! Can you please check what's going on.I don't want to be charged for money that I did not received.",pending_cash_withdrawal,retrait
"What's a pending transaction? My card was declined at an ATM, but my account says it's still pending. Can I cancel the payment?",pending_cash_withdrawal,retrait
"If I request that my funds be held, what currencies do you use?",fiat_currency_support,paiement
"There is an incoming payment into my account, but it is deactivated. Will they still be processed?",fiat_currency_support,paiement
Is it permissible to hold money in multiple currencies?,fiat_currency_support,paiement
Do you offer additional currency options?,fiat_currency_support,paiement
What fiat currencies are supported for holding and exchange?,fiat_currency_support,paiement
"When considering currency holdings and exchanges, what fiat currencies are supported?",fiat_currency_support,paiement
Which fiat currencies do you support?,fiat_currency_support,paiement
What kind of currency can I hold money in?,fiat_currency_support,paiement
I need my card quickly,card_delivery_estimate,carte
How long will it take to arrive?,card_delivery_estimate,carte
I need it delivered on a certain date.,card_delivery_estimate,carte
How long does it take to get my card? Can I choose when to receive it?,card_delivery_estimate,carte
How long will it take for the card to arrive?,card_delivery_estimate,carte
How long until my card is delivered?,card_delivery_estimate,carte
I need it delivered by Saturday.,card_delivery_estimate,carte
Can I make sure my card is delivered on a specific day?,card_delivery_estimate,carte
Is there a limit when using auto top-up?,automatic_top_up,rechargement
Will it automatically top-up or do I need to do that manually if there isn't much cash left?,automatic_top_up,rechargement
How do I use auto top up?,automatic_top_up,rechargement
Can it automatically top-up money if there isn't much left?,automatic_top_up,rechargement
"I just activated auto top-up, but it is not letting me enable it. Why not?",automatic_top_up,rechargement
Is there an auto top-up option?,automatic_top_up,rechargement
Can I have a auto top-up when my account is short?,automatic_top_up,rechargement
Will it automatically top-up money if there isn't a lot left?,automatic_top_up,rechargement
Can you explain where I can find the auto-top option?,automatic_top_up,rechargement
How do I unblock my card using the app?,card_not_working,carte
How can I get my physical card to work?,card_not_working,carte
I can't use my card.,card_not_working,carte
I have tried to use my card several times and it does not work.,card_not_working,carte
Can I change from one currency to another?,exchange_via_app,paiement
How do I make an exchange from one currency to another?,exchange_via_app,paiement
What all currencies can be exchanged?,exchange_via_app,paiement
What is the best way to exchange currency between USD and GBP using your app?,exchange_via_app,paiement
Is it possible to change to another currency?,exchange_via_app,paiement
How would I use my money in a different country?,exchange_via_app,paiement
"I might need AUD instead of GBP, how to change?",exchange_via_app,paiement
Can this app help me exchange currencies?,exchange_via_app,paiement
Can I exchange between GBP and USD on the app?,exchange_via_app,paiement
Is there currency exchange on this app?,exchange_via_app,paiement
I would like to exchange currencies,exchange_via_app,paiement
"I cant find my card, it's gone.",lost_or_stolen_card,carte
Help.  I have a stolen card!,lost_or_stolen_card,carte
"card is lost, please help",lost_or_stolen_card,carte
Help!  I can't find my card.,lost_or_stolen_card,carte
How can I freeze a stolen card?,lost_or_stolen_card,carte
My card is lost! What do I do now?,lost_or_stolen_card,carte
My card got stolen!,lost_or_stolen_card,carte
Help me please!  My card was stolen!,lost_or_stolen_card,carte
How do I go about setting up an account for my daughter?,age_limit,compte
Is there an age minimum?,age_limit,compte
How do I open up an account for my child?,age_limit,compte
Do my kids have to be a certain age to use this service?,age_limit,compte
How old do you have to be to be able to open an account?,age_limit,compte
How old do I need to be to open an account?,age_limit,compte
"How do I reset my PIN, I can't seem to use my card?",pin_blocked,compte
"When I put the wrong pin too much, I got blocked, so can you help me unblock my pin",pin_blocked,compte
I have exceeded the number of times I can try my PIN,pin_blocked,compte
Can you unlock my pin? I think I entered the wrong pin too many times.,pin_blocked,compte
Are you able to unblock my pin?,pin_blocked,compte
How do I unblock my PIN?,pin_blocked,compte
"My card's frozen, what can I do?",pin_blocked,compte
"Since my pin is blocked, would you help me unblock it?",pin_blocked,compte
I tried to pay contactless at the bus today and it didn't work. Any ideas why?,contactless_not_working,carte
Do you know why my contactless won't work?,contactless_not_working,carte
My contactless payments have not been completed successfully.,contactless_not_working,carte
Contactless isn't working for me,contactless_not_working,carte
I'm unable to use contactless payments for purchases.,contactless_not_working,carte
"When I tried to pay for my bus ride, the contactless payment wouldn't work. How can I prevent this in the future?",contactless_not_working,carte
How can I fix a problem where contactless isn't working?,contactless_not_working,carte
How can I find out where my contactless works?,contactless_not_working,carte
I would like to make a transfer. How much does it cost?,top_up_by_bank_transfer_charge,frais
"I need to make a transfer, what will the fee be?",top_up_by_bank_transfer_charge,frais
Do I have to pay any fees in order to receive money?,top_up_by_bank_transfer_charge,frais
Will you deal with SWIFT transfers?,top_up_by_bank_transfer_charge,frais
What is the fee to receive money?,top_up_by_bank_transfer_charge,frais
Do I get charged if i am getting money?,top_up_by_bank_transfer_charge,frais
What would lead to my top up still pending?,pending_top_up,rechargement
I topped up but it didn't complete,pending_top_up,rechargement
"So, I am a new customer and attempted to top up for the very first time today. It's already been pending for half an hour and doesn't seem to be working. I need to please get this fixed.",pending_top_up,rechargement
"My top up hasn't worked, it's been stuck in pending for the last couple hours",pending_top_up,rechargement
"I tried topping up but my funds seem to be pending. I want to buy something right now, what do I do?",pending_top_up,rechargement
I made a transaction this morning and would like to revert it.,cancel_transfer,virement
I accidentally made a transaction to the wrong account.,cancel_transfer,virement
Help me cancel my transaction,cancel_transfer,virement
I transferred the wrong amount and would like to cancel the transaction.,cancel_transfer,virement
Can I change the amount I made on a payment that I made to the payment is correct.,cancel_transfer,virement
what is the top up limit,top_up_limits,rechargement
When I top up what are the amoutn limits.,top_up_limits,rechargement
Are there limits to top-ups?,top_up_limits,rechargement
Do you have a top-up limit?,top_up_limits,rechargement
How can I tell if there is a top-up limit?,top_up_limits,rechargement
I didn't get all the cash I requested for at the ATM,wrong_amount_of_cash_received,retrait
I got less cash than the one I specified in the ATM,wrong_amount_of_cash_received,retrait
Why did I only get $20 when I tried to get $100,wrong_amount_of_cash_received,retrait
"I didn't get as much cash as I asked for from the ATM, why?",wrong_amount_of_cash_received,retrait
What do I do if the ATM didn't give me the correct amount I withdrew? I pulled out 30 pounds and the ATM gave me 10 pounds.,wrong_amount_of_cash_received,retrait
The right amount of cash was not sent to me.,wrong_amount_of_cash_received,retrait
I was charged a fee after using my card and I shouldn't have been.,card_payment_fee_charged,frais
Why was I charged an extra fee when paying with my card?,card_payment_fee_charged,frais
Why did I have to pay extra because I paid with card?,card_payment_fee_charged,frais
Why was I charged an extra fee when using a card?,card_payment_fee_charged,frais
Why was a charged a fee for using the card?,card_payment_fee_charged,frais
They charged me for paying with my card.,card_payment_fee_charged,frais
"I completed an in country transfer a few days ago and was sure to check the account information several times since the transaction was completed, but the funds are still not available. What is the problem?",transfer_not_received_by_recipient,virement
I transferred money but the recipient says it has not arrived. Why would this be?,transfer_not_received_by_recipient,virement
I need to find out why my transfer didn't get there.,transfer_not_received_by_recipient,virement
"I'm having a problem with a money transfer.  I sent some money to a friend a couple of hours ago, and they haven't received it yet.  Why hasn't it gotten to them? How long do transfers need to go through?",transfer_not_received_by_recipient,virement
Where is the transaction I made to a friend?,transfer_not_received_by_recipient,virement
How long will it take for my transaction to be completed?,transfer_not_received_by_recipient,virement
"How long does it take for transfers to finish?  I sent funds to my pal, and she says that she has not gotten anything.",transfer_not_received_by_recipient,virement
I transferred some money but the recipient is having trouble withdrawing.,transfer_not_received_by_recipient,virement
"I need support options, I want to top my card",supported_cards_and_currencies,carte
"If I only have 1 other US card, can you take it?",supported_cards_and_currencies,carte
can you tell me what cards and currencies you take?,supported_cards_and_currencies,carte
"I want to add money but don't know what currencies you accept, can you tell me?",supported_cards_and_currencies,carte
Which credit or debit cards can I use to top up?,supported_cards_and_currencies,carte
Do you accept other currencies besides US Dollars?,supported_cards_and_currencies,carte
how do i get a virtual card?,getting_virtual_card,carte
Where do I obtain my virtual card?,getting_virtual_card,carte
"I thought I was going to get a virtual card but I haven't received it yet, how can we resolve this?",getting_virtual_card,carte
Where can the card be used?,card_acceptance,carte
"I am traveling to Germany, Will I be able to use my card there?",card_acceptance,carte
places i can use the card,card_acceptance,carte
What can I use my card to pay for?,card_acceptance,carte
Who accepts my card?,card_acceptance,carte
"My top-up showed as complete, but it's no longer there! What's going on here?",top_up_reverted,rechargement
I believed crypto top up with something you offered. This does not seem to be working. The money has been removed from my account though so what's going on?,top_up_reverted,rechargement
I topped up but the app reverted it,top_up_reverted,rechargement
I tryed to make a top-up with cryptocurrency but the payment was referted.,top_up_reverted,rechargement
The app reverted my action when I topped up.,top_up_reverted,rechargement
"I see my top-up was canceled, but why?",top_up_reverted,rechargement
The app reverted what I topped up.,top_up_reverted,rechargement
My top-up has been cancelled.,top_up_reverted,rechargement
When will I see the cash I deposited this morning as available?,balance_not_updated_after_cheque_or_cash_deposit,rechargement
I made a deposit this morning but it is still pending?,balance_not_updated_after_cheque_or_cash_deposit,rechargement
The balance on my account wasn't updated after I made a depost.,balance_not_updated_after_cheque_or_cash_deposit,rechargement
I submitted a cash deposit to my account but it hasn't posted yet.,balance_not_updated_after_cheque_or_cash_deposit,rechargement
How come my cash deposit is not showing up. This can't be right. There must be some mistake. Where did my cash go. You better not have lost it as I need this money asap.,balance_not_updated_after_cheque_or_cash_deposit,rechargement
I have a strange payment in my statement,card_payment_not_recognised,paiement
I don't recall making that payment?,card_payment_not_recognised,paiement
Has someone accessed my card there are payments I did not make that are showing up on the app.,card_payment_not_recognised,paiement
"I'm concerned about a payment that has recently been made on my card.  I do not recognize the name that the transaction went to, can you help me?",card_payment_not_recognised,paiement
What should I do to get transactions off of my account if I didn't make them?  My card must have been compromised and I need to freeze it asap!,card_payment_not_recognised,paiement
I'm not familiar with a card payment.,card_payment_not_recognised,paiement
There's a recent charge on my card that I know I didn't make because I've never seen the name before. Can we investigate this?,card_payment_not_recognised,paiement
Some of my card payments look different than where I purchased products from. Why is that?,card_payment_not_recognised,paiement
I want to change my personal details.,edit_personal_details,compte
I moved.  I need to update my details.,edit_personal_details,compte
I need to change my account details,edit_personal_details,compte
I want to change my address.,edit_personal_details,compte
Can I change my information?,edit_personal_details,compte
How can I edit my personal details?,edit_personal_details,compte
How come you need to know my identity?,why_verify_identity,compte
"May I use my account now, even though the identity verification has not gone through yet?",why_verify_identity,compte
I won't verify my identity.,why_verify_identity,compte
Why do I have to verify my identity?,why_verify_identity,compte
What other methods are there to verify my identity?,why_verify_identity,compte
Why is it asking me to verify my identity,why_verify_identity,compte
app does not recognize me,unable_to_verify_identity,compte
The app failed to verify my identity.,unable_to_verify_identity,compte
I am having difficulties to verify my identity.,unable_to_verify_identity,compte
I am experiencing difficulty providing my identity.,unable_to_verify_identity,compte
I a having trouble proving my identity,unable_to_verify_identity,compte
app doesnt think its me,unable_to_verify_identity,compte
for some reason I am having a problem with verifying my identity.,unable_to_verify_identity,compte
Is the PIN delivered separately?,get_physical_card,carte
And what about the Card's PIN?,get_physical_card,carte
Where can I find the card PIN?,get_physical_card,carte
"Please help in finding my card PIN, thank you!",get_physical_card,carte
I cannot locate the card PIN.,get_physical_card,carte
Where can I find my PIN?,get_physical_card,carte
Help me find my card pin!,get_physical_card,carte
Is PIN delivered separately?,get_physical_card,carte
What is my card's PIN?,get_physical_card,carte
Can I get a mastercard?,visa_or_mastercard,carte
May I choose between Visa and Mastercard?,visa_or_mastercard,carte
How do I select a Mastercard instead of a Visa?,visa_or_mastercard,carte
Is it possible to have both a Visa and a Mastercard from you?,visa_or_mastercard,carte
Please give me both a visa and a master card.,visa_or_mastercard,carte
WHERE IS MY MONEY I WAS USING MY CARD AND IT DISAPPEARED,topping_up_by_card,rechargement
What is the process for using my credit card to transfer money?,topping_up_by_card,rechargement
"I did a top-up, but I'm not seeing it in my wallet yet.",topping_up_by_card,rechargement
Is there a way to transfer funds directly from my card?,topping_up_by_card,rechargement
I tried to use my card to top up but all of the money has disappeared.,topping_up_by_card,rechargement
Who else can top up my account,topping_up_by_card,rechargement
Why is my money gone right when I attempted to top up,topping_up_by_card,rechargement
How do i transfer money using my credit card?,topping_up_by_card,rechargement
I topped up my card but the money disappeared.,topping_up_by_card,rechargement
"If I have more than one disposable card, can I make five payments on each of them?",disposable_card_limits,carte
Are you able to explain the restrictions of the disposable cards?,disposable_card_limits,carte
What is the maximum number of transactions I can make with one card?,disposable_card_limits,carte
What is the limit to number of transactions I can do with a disposable card?,disposable_card_limits,carte
How can I create many temporary cards daily?,disposable_card_limits,carte
What is the limit to disposable cards you can have?,disposable_card_limits,carte
How many times can I use a disposable card?,disposable_card_limits,carte
How many transactions can I do with one disposable card?,disposable_card_limits,carte
"There are transactions I didn't make, someone else must have used my card.",compromised_card,carte
Can you freeze my card because someone used it while I was out of town. I did not make these purchases.,compromised_card,carte
What do I do to stop unauthorized transactions on my card? I was never in the place from which the transactions on my bill were made and I never made them. Please help!,compromised_card,carte
"I think my identity has been stolen, can you check on unauthorized charges?",compromised_card,carte
My card has been compromised,compromised_card,carte
"If I feel someone has my card information, can I get a new card?",compromised_card,carte
Are there any specific ATMs that this card can be used at?,atm_support,retrait
Which ATM's accept my card?,atm_support,retrait
Where are the locations of ATMs that accept this card?,atm_support,retrait
Help me locate the nearest ATM.,atm_support,retrait
How can I withdraw money?,atm_support,retrait
What type of ATMs accept this card?,atm_support,retrait
Do you know the closest ATM?,atm_support,retrait
There's a debit on my account that I didn't do.,direct_debit_payment_not_recognised,paiement
What is this direct debit I am seeing?,direct_debit_payment_not_recognised,paiement
There is a suspicious direct debit payment.,direct_debit_payment_not_recognised,paiement
This Direct Debit payment may not be right.,direct_debit_payment_not_recognised,paiement
It seems there is an incorrect listing of a direct debit payment on my app that I did not make,direct_debit_payment_not_recognised,paiement
I understand that this is extremely late. After going over my transactions for the last couple of months I noticed a large charge that I'm sure I did not make. Is there anyway I can still dispute this?,direct_debit_payment_not_recognised,paiement
There's a direct debit I wish to dispute,direct_debit_payment_not_recognised,paiement
Show me please how to reset my passcode.,passcode_forgotten,compte
Help me reset the passcode.,passcode_forgotten,compte
My passcode doesn't work,passcode_forgotten,compte
The ATM keeps declining my card. I tried at a couple different ATMs. Can you tell me if there's a problem with my account?,declined_cash_withdrawal,retrait
The withdrawal was declined I am unsure as to why this happened?,declined_cash_withdrawal,retrait
I tried to withdraw money but I was declined!,declined_cash_withdrawal,retrait
How come I can't take money out of the ATM?,declined_cash_withdrawal,retrait
i tried to withdraw money from an atm and i was declined on front of my friends. Why did this happen?,declined_cash_withdrawal,retrait
I couldn't get cash at the atm,declined_cash_withdrawal,retrait
My cash withdrawl was declined why?,declined_cash_withdrawal,retrait
"My card payment is still on hold, why is it so?",pending_card_payment,paiement
My card payment is showing pending.,pending_card_payment,paiement
What is a pending payment?,pending_card_payment,paiement
Why is there a pending transaction on my card?,pending_card_payment,paiement
Why is a payment showing up on my card as pending?,pending_card_payment,paiement
"I was double charged, and the second charge is showing as ""pending"". How long will it be before I get my money back once the second charge has been refunded?",pending_card_payment,paiement
Why would I have a pending payment?,pending_card_payment,paiement
My phone was stolen,lost_or_stolen_phone,compte
My phone was stolen yesterday.  What should I do?,lost_or_stolen_phone,compte
my phone is gone,lost_or_stolen_phone,compte
my phone was taken! can you place cancel my account so no one uses it,lost_or_stolen_phone,compte
I lost my phone!,lost_or_stolen_phone,compte
How do I use the app if I don't have my phone with me?,lost_or_stolen_phone,compte
I am chatting about an order from a long while back.  I never got it to this day and am deeply upset by this!  I want all of my money back!  I just can not accept paying for something I never got.,request_refund,remboursement
I bought this item and was charged the wrong amount can I get a refund?,request_refund,remboursement
How can I process a refund for something I purchased?,request_refund,remboursement
I tried to make a transfer and it was declined. Why?,declined_transfer,virement
why was my transfer declined,declined_transfer,virement
"You keep declining my transfers? It's always been working really well so far, but when I tried to buy something just now the card got declined. I tried couple times already but same thing.",declined_transfer,virement
Why was I unable to do a transfer?,declined_transfer,virement
Trouble transferring transaction contact for help,declined_transfer,virement
"When I submit a transfer, it is being declined.  The information I put in has been reviewed.",declined_transfer,virement
My transfer got declined.,declined_transfer,virement
The refund isn't showing up on my account.,Refund_not_showing_up,remboursement
There's a refund missing from my statement,Refund_not_showing_up,remboursement
I am awaiting my refund,Refund_not_showing_up,remboursement
"I asked for a refund last week but nothing has happened yet, can you help me please?",Refund_not_showing_up,remboursement
I am missing a refund.,Refund_not_showing_up,remboursement
Where is my refund? I have been checking my account all day.,Refund_not_showing_up,remboursement
I keep checking my bank statements but I don't see a refund that I've requested from a seller. Can you ensure that I receive the refund from the seller?,Refund_not_showing_up,remboursement
The new card that was just sent to me was declined multiple times yesterday when I tried to use it at a restaurant to pay for my dinner.  I am really disappointed  and embarrassed that my card was denied when I tried to use it to pay for my friend's birthday dinner.,declined_card_payment,paiement
My card declined,declined_card_payment,paiement
"I was out today looking forward to pay with my new card, turns out the payment just kept getting declined. This is really sad, what's going on?",declined_card_payment,paiement
I know I have enough funds in my account but my card payment hasn't worked for some reason. What do I do?,declined_card_payment,paiement
They declined my card payment.,declined_card_payment,paiement
Why has my card payment been declined?,declined_card_payment,paiement
Why is my transfer not done yet?,pending_transfer,virement
i transfered however its still pending,pending_transfer,virement
So the transfer finally worked but now it's been pending for quite a long time. How long do you expect me to wait for it? It's quite urgent,pending_transfer,virement
I submitted my transfer but it has been pending for quite a while and I was wondering what takes so long? why hasn't it completed,pending_transfer,virement
How can I speed up a transfer?  Mine is pending.,pending_transfer,virement
When will the transfer go through?,pending_transfer,virement
When will my transfer go through?,pending_transfer,virement
When will the transfer be completed?,pending_transfer,virement
"I would like to know why my payment is still pending, can you help?",pending_transfer,virement
How long does a transfer take to be confirmed?,pending_transfer,virement
I am confused as to why my transfer could still be pending.,pending_transfer,virement
My account needs to be deleted.,terminate_account,compte
I'm tired of all the problems I've had. I want to quit this account!,terminate_account,compte
I am not satisfied with your company and would like to delete my accounts!,terminate_account,compte
How do I retrieve my card from the machine?,card_swallowed,carte
HOw do I get my card back after the ATM has pulled it in?,card_swallowed,carte
Is there a way I can get my ATM card back from the machine?,card_swallowed,carte
ATM still has my card,card_swallowed,carte
What do I do if an ATM ate my card?,card_swallowed,carte
What happens if the ATM doesn't give me back my card?,card_swallowed,carte
How do I retrieve a trapped card from a ATM?,card_swallowed,carte
"My card is stuck in the ATM, what can I do?",card_swallowed,carte
I was getting cash and can't get my card back.,card_swallowed,carte
"If my card is trapped in the ATM, what do I do?",card_swallowed,carte
My card has been swallowed by an ATM,card_swallowed,carte
I would like to know why I was charged twice for my purchase.,transaction_charged_twice,frais
Why was I chaged twice for the same thing?,transaction_charged_twice,frais
I have been charged twice,transaction_charged_twice,frais
Why was I charged multiple times for the same thing?,transaction_charged_twice,frais
I had a duplicate card and got charged twice. How do I resolve this?,transaction_charged_twice,frais
A transaction is repeated several times on my account.,transaction_charged_twice,frais
I have multiple charges on the same transaction.,transaction_charged_twice,frais
where to funds come from,verify_source_of_funds,compte
What is the source of my available funds?,verify_source_of_funds,compte
What information do you need to verify my Source of Funds?,verify_source_of_funds,compte
I want to know where the funds come from.,verify_source_of_funds,compte
What is the source of my money?,verify_source_of_funds,compte
Where can I find the source of my available money?,verify_source_of_funds,compte
Where has my available money come from?,verify_source_of_funds,compte
Where do my funds come from?,verify_source_of_funds,compte
How many days does it take until funds are in my account?,transfer_timing,virement
When will a transfer reach my account?,transfer_timing,virement
I have to transfer something to China as fast as I can. How long will it take to arrive in China?,transfer_timing,virement
My card payment was cancelled.,reverted_card_payment?,paiement
My card is being declined for a purchase. I bought items before and the card worked. Do you know what the problem is?,reverted_card_payment?,paiement
Can you tell my why my card payment has been reverted.,reverted_card_payment?,paiement
"I'm not sure why my card payment was cancelled, can you find out why?",reverted_card_payment?,paiement
"Hi, I would like to file a claim for an inquiry. I am a frequent customer of the company in question and have never had any issue with my purchases, payments, or otherwise. However, the price deducted for an item I purchased a couple of weeks ago has been returned to my checking account. Was there an issue with my payment? The item has already been delivered to me.",reverted_card_payment?,paiement
There was a canceled payment for my card.,reverted_card_payment?,paiement
Someone stopped my payment,reverted_card_payment?,paiement
"If I am overseas, how do I change my pin?",change_pin,compte
Where can I find instructions to change my PIN?,change_pin,compte
Show me how to change my pin?,change_pin,compte
How can I change the PIN?  Do I have to go to a real bank?,change_pin,compte
How do I do a successful transfer to an account?,beneficiary_not_allowed,virement
What's the deal with no cryptocurrency on your app?,beneficiary_not_allowed,virement
What are the rules for transferring to a beneficiary?,beneficiary_not_allowed,virement
Can I transfer money to a beneficiery?,beneficiary_not_allowed,virement
I have tried transferring money numerous times.  All I keep getting is an error message.  Can you tell me what is going on and how this van be fixed?,beneficiary_not_allowed,virement
I am trying to exchange crypto and it's not working. Tell me how to fix this.,beneficiary_not_allowed,virement
I had to pay in order to do a transfer,transfer_fee_charged,frais
I am being charged a transfer fee aren't they free?,transfer_fee_charged,frais
Why am I being charged a fee for transferring money?,transfer_fee_charged,frais
"I sent out money, but was charged extra for transferring. Why?",transfer_fee_charged,frais
What extra charges are there?,transfer_fee_charged,frais
What do I need to do to transfer my paycheck to my account?,receiving_money,virement
How do I deposit my paycheck to this account?,receiving_money,virement
Can i deposit my salary to this account?,receiving_money,virement
How do I get my salary through this account?,receiving_money,virement
What if I need my salary in a different currency?,receiving_money,virement
Can I get my paycheck through here?,receiving_money,virement
Why did my transfer not go through?,failed_transfer,virement
Why has my transfer failed?,failed_transfer,virement
Why hasn't my transfer been made?,failed_transfer,virement
My transfer keeps failing and I just want to transfer the money can you please make it work?,failed_transfer,virement
I tried to make a transfer but it failed,failed_transfer,virement
My transfer appeared not to work.,failed_transfer,virement
"Hi, I'm buying a flat and I'm trying to get my mortgage to go though. Every time I check I simply get an error message. Is there any way you can help me get this money transferred over. Thanks!",failed_transfer,virement
help me with my transfer,failed_transfer,virement
"I'm out of money, can I add money with my bank?",transfer_into_account,virement
"When I want to transfer money to my account, how can I do that?",transfer_into_account,virement
"I would like to use the bank transfer feature, but I can't find it. Can you please give me the details?",transfer_into_account,virement
How do I do an international transfer?,transfer_into_account,virement
I want to transfer from accounts in order to Top up. What are the steps necessary.,transfer_into_account,virement
I want to use bank transfer for topping up my account. How is it handled?,transfer_into_account,virement
I checked my account today and it said I was out of money. How do I transfer money into my account?,transfer_into_account,virement
Why do you need code verification for my top up?,verify_top_up,rechargement
Where can I find the verification code on a top-up card?,verify_top_up,rechargement
How do I get my top-up verification code?,verify_top_up,rechargement
Is it possible to verify a top up?,verify_top_up,rechargement
Why is it important to verify a top-up card?,verify_top_up,rechargement
I can't find the top-up verification code.,verify_top_up,rechargement
How do I verify a top-up?,verify_top_up,rechargement
How can I find the top-up verification code?,verify_top_up,rechargement
I would like to receive a few more physical cards.,getting_spare_card,carte
How would I go about getting a second card?,getting_spare_card,carte
Do you offer multiple cards for the same account?,getting_spare_card,carte
May I have a second card?,getting_spare_card,carte
How can I get a second card for my daughter?,getting_spare_card,carte
Can I top up by cheque?,top_up_by_cash_or_cheque,rechargement
How do I top-up using cash?,top_up_by_cash_or_cheque,rechargement
I'm looking for the cash deposit top up option but can't find it. Can you help me?,top_up_by_cash_or_cheque,rechargement
What locations can I top up with cash?,top_up_by_cash_or_cheque,rechargement
how come i can't find anywhere to load using cash,top_up_by_cash_or_cheque,rechargement
How can I top-up my card?,top_up_by_cash_or_cheque,rechargement
What do you charge for physical cards?,order_physical_card,carte
Where can I get my card at?,order_physical_card,carte
price of physical card,order_physical_card,carte
Do you charge for physical cards,order_physical_card,carte
Where are cards delivered to?,order_physical_card,carte
How much does it cost in fees to use your card?,order_physical_card,carte
can I have a non virtual card?,order_physical_card,carte
What will I be charged for a physical card?,order_physical_card,carte
How can I get a real-life card of my own?,order_physical_card,carte
Where can cards be delivered?,order_physical_card,carte
What are the fees for a physical card?,order_physical_card,carte
Why doesn't my disposable virtual card work?,virtual_card_not_working,carte
How can I fix a problem where my virtual card is rejected?,virtual_card_not_working,carte
My virtual card isn't working. What do I do?,virtual_card_not_working,carte
How do I get my disposable virtual card to work?,virtual_card_not_working,carte
"When I got cash, my exchange rate was wrong.",wrong_exchange_rate_for_cash_withdrawal,retrait
I took out a foreign currency and the exchange rate is wrong.,wrong_exchange_rate_for_cash_withdrawal,retrait
I withdrew some cash out of the ATM over the holiday. It seems that I was charged some outrageous fees. I would not have done that had I been aware of these outrageous charges!,wrong_exchange_rate_for_cash_withdrawal,retrait
What is a disposable virtual card?,get_disposable_virtual_card,carte
Can i get a single use virtual card,get_disposable_virtual_card,carte
how does a virtual card work,get_disposable_virtual_card,carte
I have a top up that didn't go through.  Why?,top_up_failed,rechargement
I attempted to top up but the app denied it.,top_up_failed,rechargement
How can I check to see if my top-up worked?,top_up_failed,rechargement
Can you tell me if my pop-up went through?,top_up_failed,rechargement
How did my top-up fail?,top_up_failed,rechargement
Why can't I top up?,top_up_failed,rechargement
How long will it take for my transferred money to show up?,balance_not_updated_after_bank_transfer,virement
How long does a UK transfer take?,balance_not_updated_after_bank_transfer,virement
Why isn't the transfer on my account showing up?,balance_not_updated_after_bank_transfer,virement
Why doesn't it show that I did a balance transfer?,balance_not_updated_after_bank_transfer,virement
